省份,年份,年平均气温(°C),气温距平(°C),年降水量(mm),降水年变化率(%),春季均温(°C),无霜期(天),日照时数(h),平均风速(m/s),平均相对湿度(%),高温日数(≥35°C),暴雨日数(≥50mm),花期提前(天),主要蜜源植物,主要流蜜月份,数据来源
安徽,2016,17.3,0.8,1210.0,10.0,13.3,240,1860,2.8,78,19,9,2,油菜、洋槐,4,估算(基于国家气候公报)
安徽,2017,17.3,0.8,1133.0,-6.4,13.3,240,1890,2.8,76,19,7,2,油菜、洋槐,4,估算(基于国家气候公报)
安徽,2018,17.0,0.5,1111.0,-1.9,13.0,238,1900,2.8,75,18,7,1,油菜、洋槐,4,估算(基于国家气候公报)
安徽,2019,17.3,0.8,1208.5,8.8,13.3,240,1870,2.8,77,19,8,2,油菜、洋槐,4,估算
安徽,2020,17.2,0.7,1524.6,26.2,13.2,239,1780,2.8,81,19,11,2,油菜、洋槐,4,气温估算+降水确认
安徽,2021,17.5,1.0,1133.0,-25.7,13.5,240,1890,2.8,76,21,7,2,油菜、洋槐,4,估算
安徽,2022,17.1,0.6,1045.0,-7.8,13.1,239,1940,2.8,74,19,6,1,油菜、洋槐,4,估算
安徽,2023,17.3,0.8,1155.0,10.5,13.3,240,1900,2.8,76,20,8,2,油菜、洋槐,4,估算
福建,2000,20.5,0.2,1567.5,,17.5,310,1780,3.0,80,25,10,0,龙眼、荔枝,3,气温确认+降水估算
福建,2001,20.6,0.3,1600.5,2.1,17.6,310,1760,3.0,80,25,10,1,龙眼、荔枝,3,气温确认+降水估算
福建,2002,20.9,0.6,1633.5,2.1,17.9,311,1750,3.0,80,26,10,1,龙眼、荔枝,3,气温确认+降水估算
福建,2003,20.9,0.6,1485.0,-9.1,17.9,311,1820,3.0,78,26,9,1,龙眼、荔枝,3,气温确认+降水估算
福建,2004,20.8,0.5,1617.0,8.9,17.8,311,1770,3.0,80,26,10,1,龙眼、荔枝,3,气温确认+降水估算
福建,2005,20.7,0.4,1650.0,2.0,17.7,310,1750,3.0,80,25,10,1,龙眼、荔枝,3,气温确认+降水估算
福建,2006,20.8,0.5,1584.0,-4.0,17.8,311,1780,3.0,79,26,10,1,龙眼、荔枝,3,气温确认+降水估算
福建,2007,20.9,0.6,1617.0,2.1,17.9,311,1770,3.0,80,26,10,1,龙眼、荔枝,3,气温确认+降水估算
福建,2008,20.5,0.2,1683.0,4.1,17.5,310,1730,3.0,81,25,11,0,龙眼、荔枝,3,气温确认+降水估算
福建,2009,20.5,0.2,1650.0,-2.0,17.5,310,1750,3.0,80,25,10,0,龙眼、荔枝,3,气温确认+降水估算
福建,2010,20.2,-0.1,1716.0,4.0,17.2,309,1720,3.0,81,24,11,0,龙眼、荔枝,3,气温确认+降水估算
福建,2011,20.8,0.5,1666.5,-2.9,17.8,311,1740,3.0,80,26,11,1,龙眼、荔枝,3,估算(基于国家气候公报)
福建,2012,20.5,0.2,1650.0,-1.0,17.5,310,1750,3.0,80,25,10,0,龙眼、荔枝,3,估算(基于国家气候公报)
福建,2013,20.9,0.6,1485.0,-10.0,17.9,311,1820,3.0,78,26,9,1,龙眼、荔枝,3,估算(基于国家气候公报)
福建,2014,20.8,0.5,1617.0,8.9,17.8,311,1770,3.0,80,26,10,1,龙眼、荔枝,3,估算(基于国家气候公报)
福建,2015,21.2,0.9,1650.0,2.0,18.2,312,1750,3.0,80,28,10,2,龙眼、荔枝,3,估算(基于国家气候公报)
福建,2016,21.1,0.8,1815.0,10.0,18.1,312,1700,3.0,82,27,12,2,龙眼、荔枝,3,估算(基于国家气候公报)
福建,2017,21.1,0.8,1683.0,-7.3,18.1,312,1740,3.0,80,27,11,2,龙眼、荔枝,3,估算(基于国家气候公报)
福建,2018,20.8,0.5,1650.0,-2.0,17.8,311,1750,3.0,80,26,10,1,龙眼、荔枝,3,估算(基于国家气候公报)
福建,2019,21.1,0.8,1798.4,9.0,18.1,312,1710,3.0,81,27,12,2,龙眼、荔枝,3,估算
福建,2020,21.0,0.7,1744.3,-3.0,18.0,312,1720,3.0,81,27,11,2,龙眼、荔枝,3,气温估算+降水确认
福建,2021,21.3,1.0,1683.0,-3.5,18.3,312,1740,3.0,80,29,11,2,龙眼、荔枝,3,估算
福建,2022,20.9,0.6,1567.5,-6.9,17.9,311,1800,3.0,79,27,10,1,龙眼、荔枝,3,估算
福建,2023,21.1,0.8,1716.0,9.5,18.1,312,1750,3.0,80,28,11,2,龙眼、荔枝,3,估算
